date,btc_open,btc_high,btc_low,btc_close,btc_volume,fng_value,fng_class,active_addresses,tx_count,tx_volume,bitcoin_interest,dollar_value,10Y_yield,cpi,dow_adj,sp_adj,nasdaq_adj,sp_ret,nasdaq_ret,dow_ret
2023-01-20,20981.0,21435.0,20869.0,21391.0,2072.89602914,51.0,Neutral,702080.0,295822.0,120804.26742365002,20,119.3588,3.48,300.456,33375.48828125,3972.610107421875,11140.4296875,0.018918401045981525,0.02655298556861485,0.010014649963052902
2023-01-21,21396.0,23362.0,21366.0,23253.0,3940.99524122,53.0,Neutral,676478.0,287860.0,107067.8328077301,20,119.3588,3.48,300.456,33375.48828125,3972.610107421875,11140.4296875,0.018918401045981525,0.02655298556861485,0.010014649963052902
2023-01-22,23266.0,23310.0,22615.0,22838.0,1439.47081167,53.0,Neutral,610248.0,250760.0,57851.225409219995,20,119.3588,3.48,300.456,33375.48828125,3972.610107421875,11140.4296875,0.018918401045981525,0.02655298556861485,0.010014649963052902
2023-01-23,22828.0,23167.0,22314.0,22950.0,1975.40633264,50.0,Neutral,651866.0,293709.0,102289.69661007002,20,119.1671,3.52,300.456,33629.55859375,4019.81005859375,11364.41015625,0.01188134498366522,0.020105191184978777,0.007612482261202924
2023-01-24,22935.0,23162.0,22662.0,23003.0,1626.76914377,52.0,Neutral,660507.0,292970.0,88402.48924632002,20,119.1174,3.46,300.456,33733.9609375,4016.949951171875,11334.26953125,-0.0007115031258156934,-0.0026521944021373756,0.0031044815369478673
2023-01-25,23003.0,23082.0,22334.0,22732.0,1678.17420903,51.0,Neutral,687864.0,306681.0,131611.20186235997,20,118.995,3.46,300.456,33743.83984375,4016.219970703125,11313.3603515625,-0.0001817250594663422,-0.00184477523053872,0.00029284750368629986
2023-01-26,22735.0,23815.0,22664.0,23042.0,2848.19610724,54.0,Neutral,669489.0,296263.0,103585.85647469004,20,119.0472,3.49,300.456,33949.41015625,4060.429931640625,11512.41015625,0.011007853469181317,0.017594224748618492,0.006092084168603407
2023-01-27,23041.0,23250.0,22541.0,23191.0,1788.6464927,55.0,Greed,699439.0,303179.0,109562.15097171,20,118.9521,3.52,300.456,33978.078125,4070.56005859375,11621.7099609375,0.002494840970949097,0.009494085356936521,0.0008444320127525273
2023-01-28,23189.0,23500.0,22894.0,23004.0,1137.23886414,52.0,Neutral,637939.0,268849.0,48692.77898292004,20,118.9521,3.52,300.456,33978.078125,4070.56005859375,11621.7099609375,0.002494840970949097,0.009494085356936521,0.0008444320127525273
2023-01-29,23004.0,23755.0,22956.0,23688.0,1388.74717647,55.0,Greed,616633.0,258583.0,42823.67840651001,20,118.9521,3.52,300.456,33978.078125,4070.56005859375,11621.7099609375,0.002494840970949097,0.009494085356936521,0.0008444320127525273
2023-01-30,23687.0,23954.0,22968.0,23136.0,1741.36866473,61.0,Greed,667280.0,309909.0,110658.59796069,20,118.9079,3.55,300.456,33717.08984375,4017.77001953125,11393.8095703125,-0.012968740984683369,-0.019609884551499812,-0.007681078379120354
2023-01-31,23140.0,23215.0,22504.0,23171.0,1629.95578849,51.0,Neutral,709466.0,313500.0,129281.49819166995,20,118.991,3.52,300.456,34086.0390625,4076.60009765625,11584.5498046875,0.014642470285510134,0.016740690038561823,0.010942498906630682
2023-02-01,23170.0,23318.0,22823.0,23068.0,1592.56167893,56.0,Greed,745886.0,345561.0,123956.47426217998,19,118.6396,3.39,301.476,34092.9609375,4119.2099609375,11816.3203125,0.010452303944590291,0.02000686360023396,0.00020307067615887853
2023-02-02,23068.0,24258.0,22768.0,24061.0,3675.84219151,60.0,Greed,752262.0,340169.0,98632.52594629,19,118.349,3.4,301.476,34053.94140625,4179.759765625,12200.8203125,0.014699373244309921,0.032539740784891746,-0.0011445040318301958
2023-02-03,24065.0,24071.0,23237.0,23420.0,1900.03437088,60.0,Greed,738211.0,315951.0,121686.27139222994,19,119.5014,3.53,301.476,33926.01171875,4136.47998046875,12006.9501953125,-0.010354610691310495,-0.015889924793735077,-0.003756677853345991
2023-02-04,23419.0,23582.0,23212.0,23451.0,1012.77301843,58.0,Greed,691143.0,304495.0,67285.20462452,19,119.5014,3.53,301.476,33926.01171875,4136.47998046875,12006.9501953125,-0.010354610691310495,-0.015889924793735077,-0.003756677853345991
2023-02-05,23450.0,23459.0,22828.0,22854.0,1297.98631925,58.0,Greed,594717.0,254113.0,38551.62263916,19,119.5014,3.53,301.476,33926.01171875,4136.47998046875,12006.9501953125,-0.010354610691310495,-0.015889924793735077,-0.003756677853345991
2023-02-06,22857.0,23148.0,22643.0,23022.0,1734.7080811,56.0,Greed,663760.0,301977.0,82775.37014625002,19,120.5116,3.63,301.476,33891.01953125,4111.080078125,11887.4501953125,-0.006140463017754394,-0.009952568975146847,-0.0010314264992327127
2023-02-07,23034.0,23338.0,22651.0,22927.0,2350.04968877,54.0,Neutral,688379.0,300429.0,88943.52774630999,19,120.3298,3.67,301.476,34156.69140625,4164.0,12113.7900390625,0.01287251059802652,0.019040234872172324,0.007839005101485164
2023-02-08,22927.0,23439.0,22686.0,22897.0,1745.47064599,58.0,Greed,682912.0,316963.0,87539.81756650005,19,120.139,3.63,301.476,33949.01171875,4117.85986328125,11910.51953125,-0.011080724476164705,-0.01678009171011119,-0.006080205047670373
2023-02-09,22890.0,23003.0,22378.0,22514.0,1410.27873964,55.0,Greed,783722.0,369499.0,116057.74646337995,19,119.9785,3.67,301.476,33699.87890625,4081.5,11789.580078125,-0.00882979617773516,-0.010154003174058679,-0.007338440793621226
2023-02-10,22516.0,22523.0,21534.0,21707.0,2208.5258242200002,48.0,Neutral,700869.0,300092.0,129629.39050036,19,120.1531,3.74,301.476,33869.26953125,4090.4599609375,11718.1201171875,0.0021952617756952897,-0.006061281272442431,0.005026446103003179
2023-02-11,21713.0,21839.0,21454.0,21657.0,900.08360411,49.0,Neutral,654726.0,280319.0,74484.28828695006,19,120.1531,3.74,301.476,33869.26953125,4090.4599609375,11718.1201171875,0.0021952617756952897,-0.006061281272442431,0.005026446103003179
2023-02-12,21656.0,22086.0,21648.0,21977.0,1378.68015635,50.0,Neutral,617837.0,259642.0,41080.6141906,19,120.1531,3.74,301.476,33869.26953125,4090.4599609375,11718.1201171875,0.0021952617756952897,-0.006061281272442431,0.005026446103003179
2023-02-13,21982.0,22031.0,21376.0,21651.0,1803.79657289,48.0,Neutral,666916.0,299329.0,103730.69354991995,19,120.0145,3.72,301.476,34245.9296875,4137.2900390625,11891.7900390625,0.011448609342766147,0.014820629942192687,0.011121000289140204
2023-02-14,21649.0,22316.0,21555.0,22129.0,2147.63509107,50.0,Neutral,675701.0,302653.0,116569.52323572997,19,119.9601,3.77,301.476,34089.26953125,4136.1298828125,11960.150390625,-0.0002804145319874607,0.005748533344260842,-0.004574562807304394
2023-02-15,22117.0,23048.0,22064.0,22978.0,1299.649155,53.0,Neutral,723537.0,325460.0,127201.24194637,19,120.4926,3.81,301.476,34128.05078125,4147.60009765625,12070.58984375,0.002773175690496066,0.009233951875017299,0.0011376380466130431
2023-02-16,22981.0,25270.0,22951.0,24972.0,3834.97618219,62.0,Greed,759215.0,344711.0,140583.03663260004,19,120.5069,3.86,301.476,33696.8515625,4090.409912109375,11855.830078125,-0.013788741489130674,-0.01779198600938292,-0.01263474499360806
2023-02-17,24974.0,25002.0,23369.0,24365.0,3208.88929711,61.0,Greed,716489.0,321260.0,112490.60784384,19,120.6023,3.82,301.476,33826.69140625,4079.090087890625,11787.26953125,-0.002767405825327751,-0.005782855053017344,0.003853174339127019
2023-02-18,24366.0,25014.0,24083.0,24718.0,1813.67323054,60.0,Greed,656568.0,276798.0,55950.964416360024,19,120.6023,3.82,301.476,33826.69140625,4079.090087890625,11787.26953125,-0.002767405825327751,-0.005782855053017344,0.003853174339127019
2023-02-19,24717.0,25183.0,24294.0,24479.0,1543.35486461,60.0,Greed,569883.0,240406.0,44467.08488730999,19,120.6023,3.82,301.476,33826.69140625,4079.090087890625,11787.26953125,-0.002767405825327751,-0.005782855053017344,0.003853174339127019
2023-02-20,24479.0,25118.0,23862.0,24822.0,1947.93190951,58.0,Greed,615969.0,270081.0,70277.61345419,19,120.6023,3.82,301.476,33826.69140625,4079.090087890625,11787.26953125,-0.002767405825327751,-0.005782855053017344,0.003853174339127019
2023-02-21,24822.0,25250.0,24289.0,24692.0,2103.61680936,60.0,Greed,654981.0,290457.0,90909.23502128002,19,120.678,3.95,301.476,33129.58984375,3997.340087890625,11492.2998046875,-0.020041234255327334,-0.025024432145246744,-0.020608032696073808
2023-02-22,24690.0,24694.0,23594.0,23745.0,2016.52893906,59.0,Greed,660490.0,282319.0,105628.40791830998,19,120.8969,3.93,301.476,33045.08984375,3991.050048828125,11507.0703125,-0.0015735561458868341,0.0012852525659377,-0.0025505899831096412
2023-02-23,23744.0,24590.0,23636.0,23863.0,2194.58019426,56.0,Greed,693262.0,290728.0,96118.27993298997,19,121.141,3.88,301.476,33153.91015625,4012.320068359375,11590.400390625,0.005329429416074394,0.007241641517952591,0.0032930856903263805
